u;theta rad;omega rad/s
5;1138.321364;65.65454545
5;1144.886818;65.65454545
5;1151.438;65.51181818
5;1158.003455;65.65454545
5;1164.554636;65.51181818
5;1171.105818;65.51181818
5;1177.657;65.51181818
5;1184.222455;65.65454545
5;1190.773636;65.51181818
5;1197.324818;65.51181818
5;1203.876;65.51181818
5;1210.441455;65.65454545
5;1216.992636;65.51181818
5;1223.543818;65.51181818
5;1230.109273;65.65454545
5;1236.660455;65.51181818
5;1243.225909;65.65454545
5;1249.777091;65.51181818
5;1256.342545;65.65454545
5;1262.893727;65.51181818
5;1269.444909;65.51181818
5;1275.996091;65.51181818
5;1282.547273;65.51181818
5;1289.112727;65.65454545
5;1295.663909;65.51181818
5;1302.215091;65.51181818
5;1308.766273;65.51181818
5;1315.317455;65.51181818
5;1321.882909;65.65454545
5;1328.419818;65.36909091
5;1334.971;65.51181818
5;1341.522182;65.51181818
5;1348.059091;65.36909091
5;1354.610273;65.51181818
5;1361.161455;65.51181818
5;1367.712636;65.51181818
5;1374.263818;65.51181818
5;1380.815;65.51181818
5;1387.351909;65.36909091
5;1393.903091;65.51181818
5;1400.468545;65.65454545
5;1407.005455;65.36909091
5;1413.570909;65.65454545
5;1420.122091;65.51181818
5;1426.673273;65.51181818
5;1433.224455;65.51181818
5;1439.775636;65.51181818
5;1446.341091;65.65454545
5;1452.892273;65.51181818
5;1459.457727;65.65454545
5;1466.023182;65.65454545
5;1472.574364;65.51181818
5;1479.139818;65.65454545
5;1485.691;65.51181818
5;1492.256455;65.65454545
5;1498.807636;65.51181818
5;1505.358818;65.51181818
5;1511.924273;65.65454545
5;1518.475455;65.51181818
5;1525.026636;65.51181818
5;1531.592091;65.65454545
5;1538.143273;65.51181818
5;1544.694455;65.51181818
5;1551.259909;65.65454545
5;1557.796818;65.36909091
5;1564.348;65.51181818
5;1570.913455;65.65454545
5;1577.464636;65.51181818
5;1584.015818;65.51181818
5;1590.581273;65.65454545
5;1597.132455;65.51181818
5;1603.683636;65.51181818
5;1610.249091;65.65454545
5;1616.814545;65.65454545
5;1623.365727;65.51181818
5;1629.916909;65.51181818
5;1636.482364;65.65454545
5;1643.033545;65.51181818
5;1649.599;65.65454545
5;1656.150182;65.51181818
5;1662.715636;65.65454545
5;1669.266818;65.51181818
5;1675.818;65.51181818
5;1682.383455;65.65454545
5;1688.948909;65.65454545
5;1695.514364;65.65454545
5;1702.065545;65.51181818
5;1708.631;65.65454545
5;1715.182182;65.51181818
5;1721.747636;65.65454545
5;1728.313091;65.65454545
5;1734.864273;65.51181818
5;1741.415455;65.51181818
5;1747.966636;65.51181818
5;1754.517818;65.51181818
5;1761.083273;65.65454545
5;1767.648727;65.65454545
5;1774.199909;65.51181818
5;1780.765364;65.65454545
5;1787.316545;65.51181818
-5;1793.639364;63.22818182
-5;1799.562545;59.23181818
-5;1805.057545;54.95
-5;1810.152909;50.95363636
-5;1814.848636;46.95727273
-5;1819.144727;42.96090909
-5;1823.012636;38.67909091
-5;1826.495182;34.82545455
-5;1829.578091;30.82909091
-5;1832.275636;26.97545455
-5;1834.602091;23.26454545
-5;1836.528909;19.26818182
-5;1838.098909;15.7
-5;1839.283545;11.84636364
-5;1840.097091;8.135454545
-5;1840.539545;4.424545455
-5;1840.639455;0.999090909
-5;1840.482455;-1.57
-5;1840.139909;-3.425454545
-5;1839.626091;-5.138181818
-5;1838.941;-6.850909091
-5;1838.098909;-8.420909091
-5;1837.085545;-10.13363636
-5;1835.972273;-11.13272727
-5;1834.716273;-12.56
-5;1833.303273;-14.13
-5;1831.733273;-15.7
-5;1830.034818;-16.98454545
-5;1828.207909;-18.26909091
-5;1826.238273;-19.69636364
-5;1824.125909;-21.12363636
-5;1821.899364;-22.26545455
-5;1819.530091;-23.69272727
-5;1817.032364;-24.97727273
-5;1814.449;-25.83363636
-5;1811.708636;-27.40363636
-5;1808.882636;-28.26
-5;1805.942455;-29.40181818
-5;1802.888091;-30.54363636
-5;1799.733818;-31.54272727
-5;1796.479636;-32.54181818
-5;1793.139818;-33.39818182
-5;1789.700091;-34.39727273
-5;1786.160455;-35.39636364
-5;1782.535182;-36.25272727
-5;1778.81;-37.25181818
-5;1775.013455;-37.96545455
-5;1771.117;-38.96454545
-5;1767.149182;-39.67818182
-5;1763.11;-40.39181818
-5;1758.999455;-41.10545455
-5;1754.803273;-41.96181818
-5;1750.535727;-42.67545455
-5;1746.196818;-43.38909091
-5;1741.772273;-44.24545455
-5;1737.304909;-44.67363636
-5;1732.766182;-45.38727273
-5;1728.156091;-46.10090909
-5;1723.517455;-46.38636364
-5;1718.793182;-47.24272727
-5;1714.026091;-47.67090909
-5;1709.201909;-48.24181818
-5;1704.334909;-48.67
-5;1699.396545;-49.38363636
-5;1694.415364;-49.81181818
-5;1689.377091;-50.38272727
-5;1684.324545;-50.52545455
-5;1679.200636;-51.23909091
-5;1674.033909;-51.66727273
-5;1668.824364;-52.09545455
-5;1663.586273;-52.38090909
-5;1658.291091;-52.95181818
-5;1652.953091;-53.38
-5;1647.600818;-53.52272727
-5;1642.177182;-54.23636364
-5;1636.739273;-54.37909091
-5;1631.244273;-54.95
-5;1625.706455;-55.37818182
-5;1620.154364;-55.52090909
-5;1614.573727;-55.80636364
-5;1608.936;-56.37727273
-5;1603.298273;-56.37727273
-5;1597.603455;-56.94818182
-5;1591.880091;-57.23363636
-5;1586.156727;-57.23363636
-5;1580.390545;-57.66181818
-5;1574.581545;-58.09
-5;1568.772545;-58.09
-5;1562.920727;-58.51818182
-5;1557.054636;-58.66090909
-5;1551.131455;-59.23181818
-5;1545.222545;-59.08909091
-5;1539.270818;-59.51727273
-5;1533.290545;-59.80272727
-5;1527.296;-59.94545455
-5;1521.287182;-60.08818182
-5;1515.249818;-60.37363636
-5;1509.198182;-60.51636364
-5;1503.132273;-60.65909091
-5;1497.037818;-60.94454545
-5;1490.914818;-61.23
-5;1484.777545;-61.37272727
-5;1478.626;-61.51545455
-5;1472.460182;-61.65818182
-5;1466.265818;-61.94363636
-5;1460.057182;-62.08636364
-5;1453.834273;-62.22909091
-5;1447.597091;-62.37181818
-5;1441.345636;-62.51454545
-5;1435.079909;-62.65727273
-5;1428.785636;-62.94272727
-5;1422.477091;-63.08545455
-5;1416.154273;-63.22818182
-5;1409.817182;-63.37090909
-5;1403.465818;-63.51363636
-5;1397.114455;-63.51363636
-5;1390.734545;-63.79909091
-5;1384.354636;-63.79909091
-5;1377.960455;-63.94181818
-5;1371.552;-64.08454545
-5;1365.143545;-64.08454545
-5;1358.720818;-64.22727273
-5;1352.269545;-64.51272727
-5;1345.832545;-64.37
-5;1339.381273;-64.51272727
-5;1332.915727;-64.65545455
-5;1326.435909;-64.79818182
-5;1319.956091;-64.79818182
-5;1313.476273;-64.79818182
-5;1306.967909;-65.08363636
-5;1300.459545;-65.08363636
-5;1293.951182;-65.08363636
-5;1287.414273;-65.36909091
-5;1280.891636;-65.22636364
-5;1274.340455;-65.51181818
-5;1267.789273;-65.51181818
-5;1261.238091;-65.51181818
-5;1254.686909;-65.51181818
-5;1248.107182;-65.79727273
-5;1241.527455;-65.79727273
-5;1234.947727;-65.79727273
-5;1228.353727;-65.94
-5;1221.745455;-66.08272727
-5;1215.151455;-65.94
-5;1208.528909;-66.22545455
-5;1201.920636;-66.08272727
-5;1195.298091;-66.22545455
-5;1188.661273;-66.36818182
-5;1182.038727;-66.22545455
-5;1175.401909;-66.36818182
-5;1168.765091;-66.36818182
-5;1162.128273;-66.36818182
-5;1155.477182;-66.51090909
-5;1148.826091;-66.51090909
-5;1142.175;-66.51090909
-5;1135.495364;-66.79636364
-5;1128.83;-66.65363636
-5;1122.150364;-66.79636364
-5;1115.470727;-66.79636364
-5;1108.776818;-66.93909091
-5;1102.097182;-66.79636364
-5;1095.417545;-66.79636364
-5;1088.723636;-66.93909091
-5;1082.029727;-66.93909091
-5;1075.335818;-66.93909091
-5;1068.641909;-66.93909091
-5;1061.933727;-67.08181818
-5;1055.225545;-67.08181818
-5;1048.517364;-67.08181818
-5;1041.809182;-67.08181818
-5;1035.086727;-67.22454545
-5;1028.35;-67.36727273
-5;1021.627545;-67.22454545
-5;1014.905091;-67.22454545
-5;1008.168364;-67.36727273
-5;1001.445909;-67.22454545
-5;994.6949091;-67.51
-5;987.9581818;-67.36727273
-5;981.2214545;-67.36727273
-5;974.4704545;-67.51
-5;967.7194545;-67.51
-5;960.9684545;-67.51
-5;954.2031818;-67.65272727
-5;947.4521818;-67.51
-5;940.6869091;-67.65272727
-5;933.9073636;-67.79545455
-5;927.1420909;-67.65272727
-5;920.3768182;-67.65272727
-5;913.6115455;-67.65272727
-5;906.8462727;-67.65272727
-5;900.0667273;-67.79545455
-5;893.3014545;-67.65272727
-5;886.5219091;-67.79545455
-5;879.7423636;-67.79545455
-5;872.9628182;-67.79545455
-5;866.1832727;-67.79545455
-5;859.4037273;-67.79545455
-5;852.6241818;-67.79545455
-5;845.8303636;-67.93818182
-5;839.0508182;-67.79545455
-5;832.2712727;-67.79545455
-5;825.4917273;-67.79545455
-5;818.7264545;-67.65272727
-5;811.9611818;-67.65272727
-5;805.1816364;-67.79545455
-5;798.4163636;-67.65272727
-5;791.6368182;-67.79545455
-5;784.8715455;-67.65272727
-5;778.092;-67.79545455
-5;771.3124545;-67.79545455
-5;764.5329091;-67.79545455
-5;757.7676364;-67.65272727
-5;750.9880909;-67.79545455
-5;744.2085455;-67.79545455
-5;737.4432727;-67.65272727
-5;730.6637273;-67.79545455
-5;723.8984545;-67.65272727
-5;717.1331818;-67.65272727
-5;710.3679091;-67.65272727
-5;703.6026364;-67.65272727
-5;696.8373636;-67.65272727
-5;690.0578182;-67.79545455
-5;683.2925455;-67.65272727
-5;676.513;-67.79545455
-5;669.7477273;-67.65272727
-5;662.9824545;-67.65272727
-5;656.2029091;-67.79545455
-5;649.4376364;-67.65272727
-5;642.6580909;-67.79545455
-5;635.8785455;-67.79545455
-5;629.1132727;-67.65272727
-5;622.348;-67.65272727
-5;615.5684545;-67.79545455
-5;608.7889091;-67.79545455
