r;thetaT;omegaR;error;u;u_i;u_p;
0;0.0;0;0;0
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
5.0;0.0;0.0;5.0;8.00754;1.0821;6.92544;
5.0;0.17135959928671599;1.7135959928671598;3.28640400713284;6.345302308655301;1.7933435552236894;4.551958753431611;
5.0;0.5854786308962796;4.141190316095636;0.8588096839043642;3.1687341344739997;1.9792071470142718;1.189526987459728;
5.0;1.0995574287564276;5.140787978601479;-0.1407879786014794;1.7537340729801738;1.9487378126853396;-0.1950037397051659;
5.0;1.6564761264382546;5.56918697681827;-0.56918697681827;1.0371803158150654;1.8255543671623295;-0.788374051347264;
5.0;2.2133948241200816;5.56918697681827;-0.56918697681827;0.9139968702920555;1.7023709216393195;-0.788374051347264;
5.0;2.756033555194682;5.426387310746006;-0.4263873107460059;1.019508232381105;1.6100921798476688;-0.5905839474665638;
5.0;3.284392319662057;5.283587644673746;-0.2835876446737462;1.155924298201507;1.5487181417873768;-0.39279384358586983;
5.0;3.784191150914978;4.9979883125292135;0.002011687470786505;1.5519398753653413;1.5491535111898045;0.002786364175536739;
5.0;4.298269948775126;5.140787978601482;-0.14078797860148207;1.323680437155702;1.5186841768608716;-0.1950037397051696;
5.0;4.783788813420821;4.855188646456945;0.14481135354305508;1.7506007180509027;1.5500242499946597;0.20057646805624307;
5.0;5.240747744852064;4.569589314312434;0.4304106856875656;2.2393304064087816;1.6431737305911627;0.5961566758176189;
5.0;5.697706676283306;4.569589314312417;0.43041068568758334;2.332479887005313;1.7363232111876694;0.5961566758176434;
5.0;6.154665607714549;4.569589314312434;0.4304106856875656;2.4256293676017915;1.8294726917841724;0.5961566758176189;
5.0;6.625904505753018;4.71238898038469;0.2876110196153103;2.290084040586249;1.891717468649318;0.398366571936931;
5.0;7.097143403791487;4.71238898038469;0.2876110196153103;2.3523288174513945;1.9539622455144634;0.398366571936931;
5.0;7.582662268437182;4.855188646456945;0.14481135354305508;2.1858787867044946;1.9853023186482515;0.20057646805624307;
5.0;8.068181133082877;4.855188646456954;0.1448113535430462;2.2172188598382685;2.0166423917820375;0.20057646805623078;
5.0;8.596539897550253;5.283587644673755;-0.2835876446737551;1.5624745101358615;1.9552683537217435;-0.3927938435858821;
5.0;9.139178628624853;5.4263873107460014;-0.42638731074600145;1.272405664463536;1.8629896119300937;-0.5905839474665577;
5.0;9.724657259521132;5.854786308962794;-0.8547863089627938;0.4940424998357076;1.6779967589443658;-1.1839542591086583;
5.0;10.23873605738128;5.140787978601473;-0.14078797860147318;1.4525236849102776;1.647527424615435;-0.1950037397051573;
5.0;10.78137478845588;5.4263873107460014;-0.42638731074600145;0.9646647353572275;1.5552486828237853;-0.5905839474665577;
5.0;11.266893653101576;4.855188646456963;0.1448113535430373;1.7871652240137879;1.5865887559575693;0.20057646805621848;
5.0;11.752412517747272;4.855188646456963;0.1448113535430373;1.818505297147572;1.6179288290913534;0.20057646805621848;
5.0;12.180811515964061;4.283989982167888;0.7160100178321116;2.764624600729623;1.772887717150579;0.9917368835790439;
5.0;12.637770447395305;4.569589314312434;0.4304106856875656;2.4621938735647007;1.866037197747082;0.5961566758176189;
5.0;13.109009345433773;4.712388980384681;0.2876110196153192;2.3266485465491726;1.9282819746122293;0.3983665719369433;
5.0;13.580248243472242;4.7123889803846986;0.28761101961530144;2.3888933234142913;1.9905267514773728;0.39836657193691866;
5.0;14.065767108117937;4.855188646456945;0.14481135354305508;2.222443292667404;2.021866824611161;0.20057646805624307;
5.0;14.579845905978084;5.140787978601473;-0.14078797860147318;1.7963937505770726;1.99139749028223;-0.1950037397051573;
5.0;15.122484637052686;5.426387310746019;-0.4263873107460192;1.308534801023994;1.8991187484905765;-0.5905839474665823;
5.0;15.679403334734513;5.569186976818266;-0.5691869768182656;0.9875612516203096;1.7759353029675675;-0.7883740513472579;
5.0;16.222042065809113;5.4263873107460014;-0.42638731074600145;1.09307261370936;1.6836565611759178;-0.5905839474665577;
5.0;16.73612086366926;5.140787978601473;-0.14078797860147318;1.4581834871418295;1.653187226846987;-0.1950037397051573;
0.0;17.250199661529408;5.140787978601473;-5.140787978601473;-8.233013074034089;-1.112569334328931;-7.120443739705157;
0.0;17.450119194030577;1.9991953250116978;-1.9991953250116978;-4.314296640897766;-1.5452351865679625;-2.769061454329803;
0.0;17.335879461172766;-1.142397328578113;1.142397328578113;0.28432327432851423;-1.2979975567170874;1.5823208310456016;
0.0;17.22163972831496;-1.1423973285780775;1.1423973285780775;0.5315609041793325;-1.0507599268662198;1.5823208310455523;
0.0;17.107399995457147;-1.142397328578113;1.142397328578113;0.7787985340302571;-0.8035222970153445;1.5823208310456016;
0.0;17.078840062242694;-0.28559933214452826;0.28559933214452826;-0.3461326817912253;-0.7417128895526257;0.3955802077614004;
0.0;17.078840062242694;0.0;0.0;-0.7417128895526257;-0.7417128895526257;0.0;
0.0;17.064560095635468;-0.14279966607226413;0.14279966607226413;-0.5130180819405661;-0.7108081858212663;0.1977901038807002;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
0.0;17.064560095635468;0.0;0.0;-0.7108081858212663;-0.7108081858212663;0.0;
