r;thetaT;omegaR;error;u;u_i;u_p;
10.0;82.62388678941157;9.424777960769433;0.5752220392305674;10.267517354229266;9.470784210355479;0.7967331438737881;
10.0;83.5663645854885;9.42477796076929;0.5752220392307095;10.392006907959773;9.595273764085789;0.796733143873985;
10.0;84.80872168031719;12.423570948286908;-2.4235709482869083;5.713905501836719;9.070764539457537;-3.3568590376208176;
10.0;86.33667810729041;15.279564269732191;-5.279564269732191;0.6155001249672747;7.928161240202096;-7.312661115234821;
10.0;87.86463453426363;15.279564269732191;-5.279564269732191;-0.5271031742881664;6.785557940946655;-7.312661115234821;
10.0;89.42115089445129;15.565163601876577;-5.565163601876577;-2.127096088767499;5.581145234228526;-7.708241322996025;
10.0;90.87770748838838;14.565565939370941;-4.565565939370941;-1.7306451422015527;4.593065453629866;-6.323710595831419;
10.0;92.17718444964598;12.994769612575965;-2.994769612575965;-0.20308203906744238;3.944937414076176;-4.148019453143618;
10.0;93.39098161126022;12.13797161614238;-2.13797161614238;0.5209587670512246;3.482237596910642;-2.9612788298594173;
10.0;94.56193887305278;11.709572617925659;-1.7095726179256587;0.7443433727217554;3.1122518909391705;-2.367908518217415;
10.0;95.71861616823811;11.566772951853324;-1.5667729518533235;0.6030524743624577;2.7731708886990742;-2.1701184143366166;
10.0;96.80389363038731;10.852774621491932;-0.8527746214919318;1.4074455101827734;2.5886134051157903;-1.1811678949330169;
10.0;97.88917109253651;10.852774621492074;-0.852774621492074;1.2228880265992619;2.4040559215324757;-1.1811678949332138;
10.0;98.9173286882568;10.281575957202875;-0.2815759572028753;1.9531097734644134;2.3431172528746296;-0.3900074794102162;
10.0;99.93120631736987;10.138776291130682;-0.13877629113068224;2.120865912418513;2.3130832879481273;-0.1922173755296144;
10.0;100.95936391309017;10.281575957203017;-0.2815759572030174;1.8621371398798372;2.25214461929025;-0.390007479410413;
10.0;102.01608144202491;10.567175289347404;-0.5671752893474036;1.3438088559980685;2.129396543169685;-0.7855876871716165;
10.0;103.05851900435243;10.42437562327521;-0.4243756232752105;1.4497555874894492;2.037553170780464;-0.5877975832910148;
10.0;104.10095656667997;10.424375623275353;-0.4243756232753526;1.3579122151000005;1.9457097983912122;-0.5877975832912117;
